id, movie, segment_length, buffer_size, adaptation, representation, max_br, lr, mlbs, delay, jitter, bandwidth, avg_response_t, avg_throughput, buffer_underrruns, stall_time, initial_delay, total_time
1427, transformers, 2, 16, False, 2, 0, 9.6, 50, 0, 0, 7000, 2.67188873291, 6679051, 0, 0, 22.0423550606, 82.0429339409
1428, transformers, 2, 8, False, 2, 0, 1.2, 50, 0, 0, 9500, 1.97025864124, 9057127, 0, 0, 8.24981999397, 68.2504339218
1429, transformers, 6, 8, False, 2, 0, 4.8, 5, 0, 0, 9000, 4.47085615567, 8570126, 0, 0, 9.21610403061, 79.2167880535
142, transformers, 10, 2, False, 2, 0, 19.2, 5, 0, 0, 9500, 83.2434059892, 919389, 3, 454.59406805, 74.1141631603, 591.708631992
1430, transformers, 6, 8, False, 2, 0, 19.2, 30, 0, 0, 9000, 10.7614435809, 3846521, 2, 64.4877524376, 19.2107300758, 153.699647188
1431, transformers, 6, 8, False, 2, 0, 4.8, 50, 0, 0, 10000, 4.0105618579, 9540808, 0, 0, 8.29894781113, 78.2995746136
1432, transformers, 10, 8, False, 2, 0, 0, 5, 0, 0, 8500, 9.43993558202, 8108824, 0, 0, 9.75356006622, 72.7538952827
1433, transformers, 6, 4, False, 2, 0, 19.2, 50, 0, 0, 15000, 3.01292029449, 13255919, 0, 0, 2.48960995674, 72.4900960922
1434, transformers, 2, 8, False, 2, 0, 0, 30, 0, 0, 15000, 1.24994908174, 14275467, 0, 0, 5.23721003532, 66.710239172
1435, transformers, 10, 2, False, 2, 0, 1.2, 30, 0, 0, 9000, 8.91258542878, 8587670, 0, 0, 9.21160316467, 72.2119941711
1436, transformers, 10, 4, False, 2, 0, 1.2, 30, 0, 0, 7000, 11.4567687171, 6681257, 1, 5.36231517792, 11.8380169868, 74.8385457993
1437, transformers, 2, 16, False, 2, 0, 0.6, 5, 0, 0, 8500, 2.20088055929, 8108426, 0, 0, 18.1604168415, 78.1610569954
1438, transformers, 6, 8, False, 2, 0, 0, 50, 0, 0, 10000, 4.01040816307, 9541434, 0, 0, 8.29589605331, 78.2965891361
1439, transformers, 2, 4, False, 2, 0, 1.2, 50, 0, 0, 9500, 1.97012007236, 9057724, 1, 6.62271761894, 3.79313516617, 71.5821449757
143, transformers, 2, 2, False, 2, 0, 1.2, 30, 0, 0, 8000, 2.33829301198, 7631759, 4, 12.901812315, 2.38414692879, 76.2985098362
1440, transformers, 10, 8, False, 2, 0, 9.6, 50, 0, 0, 7000, 11.4558550971, 6681500, 1, 5.35573196411, 11.8380918503, 74.8386240005
1441, transformers, 6, 8, False, 2, 0, 0, 50, 0, 0, 8500, 4.71684045451, 8112272, 0, 0, 9.7578690052, 79.758505106
1442, transformers, 6, 4, False, 2, 0, 19.2, 5, 0, 0, 9500, 44.7612496104, 889783, 7, 511.998282433, 44.6688001156, 588.631034851
1443, transformers, 10, 8, False, 2, 0, 4.8, 50, 0, 0, 7000, 11.4568707262, 6680778, 1, 5.35686302185, 11.8446259499, 74.8451588154
