" ""mlbs""";" ""bandwidth""";" ""segment_length""";" ""number of stalls""";
 0.1; 0.466666666666667;1;2;
 0.1; 0.533333333333333; 0.2; 9.22222222222222;
 0.1; 0.533333333333333; 0.6; 3.55555555555556;
 0.1; 0.533333333333333;1; 1.77777777777778;
 0.1; 0.566666666666667; 0.2; 8.55555555555556;
 0.1; 0.566666666666667; 0.6; 3.22222222222222;
 0.1; 0.566666666666667;1;2;
 0.1; 0.6; 0.2; 8.44444444444444;
 0.1; 0.6; 0.6; 2.77777777777778;
 0.1; 0.6;1; 1.88888888888889;
 0.1; 0.633333333333333; 0.2; 8.33333333333333;
 0.1; 0.633333333333333; 0.6; 2.88888888888889;
 0.1; 0.633333333333333;1; 1.77777777777778;
 0.1; 0.666666666666667; 0.2; 7.66666666666667;
 0.1; 0.666666666666667; 0.6; 2.88888888888889;
 0.1; 0.666666666666667;1; 1.66666666666667;
 0.1;1; 0.2; 5.88888888888889;
 0.1;1; 0.6; 1.55555555555556;
 0.1;1;1; 1.11111111111111;
