id, movie, segment_length, buffer_size, adaptation, representation, max_br, lr, mlbs, delay, jitter, bandwidth, avg_response_t, avg_throughput, buffer_underrruns, stall_time, initial_delay, total_time
622, transformers, 10, 12, False, 2, 0, 2.4, 50, 0, 0, 9000, 2.07691600323, 8592142, 1, 3.47399783134, 2.12041306496, 65.5950438976
623, transformers, 6, 12, False, 2, 0, 1.2, 5, 0, 0, 8000, 2.33671080271, 7637548, 3, 10.746563673, 2.38313603401, 73.130546093
624, transformers, 10, 4, False, 2, 0, 19.2, 5, 0, 0, 8000, 26.3407558282, 698894, 15, 702.948894978, 27.3011269569, 783.334279776
625, transformers, 10, 8, False, 2, 0, 19.2, 65, 0, 0, 15000, 1.27585065365, 14094670, 0, 0, 1.27634501457, 62.7493999004
626, transformers, 10, 4, False, 2, 0, 4.8, 50, 0, 0, 15000, 1.24904763699, 14289125, 0, 0, 1.27293896675, 62.7460188866
627, transformers, 2, 2, False, 2, 0, 2.4, 65, 0, 0, 15000, 1.24837261041, 14296328, 0, 0, 1.27536892891, 62.7508897781
628, transformers, 6, 2, False, 2, 0, 19.2, 50, 0, 0, 15000, 1.38993486563, 13274049, 1, 1.82592391968, 1.27413988113, 64.572177887
629, transformers, 2, 12, False, 2, 0, 19.2, 5, 0, 0, 10000, 26.2269916137, 718303, 15, 700.597167492, 26.2374479771, 782.910902977
630, transformers, 6, 8, False, 2, 0, 14.4, 65, 0, 0, 7000, 2.66863729159, 6687443, 5, 20.2319839001, 2.71592903137, 82.9491899014
631, transformers, 2, 2, False, 2, 0, 14.4, 65, 0, 0, 10000, 1.8691168944, 9550040, 1, 4.73271608353, 1.90595698357, 67.8493468761
632, transformers, 10, 12, False, 2, 0, 0, 5, 0, 0, 15000, 1.24819407463, 14297217, 0, 0, 1.27272295952, 62.7474589348
633, transformers, 10, 12, False, 2, 0, 0, 65, 0, 0, 9000, 2.07648711999, 8593406, 1, 3.47427415848, 2.11177206039, 65.5867671967
634, transformers, 2, 4, False, 2, 0, 0, 65, 0, 0, 9000, 2.07657250563, 8595208, 1, 4.11999607086, 2.11969184875, 66.2402889729
635, transformers, 6, 8, False, 2, 0, 0.6, 5, 0, 0, 7000, 2.6686691761, 6688947, 5, 20.2406327724, 2.72037005424, 82.9612140656
636, transformers, 2, 4, False, 2, 0, 2.4, 65, 0, 0, 8000, 2.33592953682, 7641130, 3, 10.7304029465, 2.38146615028, 73.1125793457
637, transformers, 10, 8, False, 2, 0, 9.6, 65, 0, 0, 9000, 2.07628722986, 8595979, 1, 3.46782016754, 2.11347293854, 65.5818650723
638, transformers, 6, 4, False, 2, 0, 14.4, 50, 0, 0, 7000, 2.67053713799, 6682117, 5, 20.2840247154, 2.71886205673, 83.0046000481
639, transformers, 6, 2, False, 2, 0, 0.3, 65, 0, 0, 10000, 1.86940625509, 9546066, 1, 4.72770404816, 1.90368580818, 67.8404097557
640, transformers, 10, 4, False, 2, 0, 19.2, 50, 0, 0, 15000, 1.44768251578, 13122371, 0, 0, 1.2740252018, 62.7462451458
641, transformers, 6, 12, False, 2, 0, 1.2, 65, 0, 0, 15000, 1.24872173468, 14292744, 0, 0, 1.27582788467, 62.7487168312
642, transformers, 2, 8, False, 2, 0, 9.6, 5, 0, 0, 7000, 4.72351513704, 3949805, 11, 78.4201583862, 6.17595601082, 144.597427845
643, transformers, 2, 12, False, 2, 0, 4.8, 5, 0, 0, 9000, 2.14586607615, 8329789, 1, 4.24789810181, 2.12003993988, 66.3683960438
